date,gdp
2021-10-19,2399005
2021-10-20,2399005
2021-10-21,2399005
2021-10-22,2399005
2021-10-25,2399005
2021-10-26,2399005
2021-10-27,2399005
2021-10-28,2399005
2021-10-29,2399005
2021-11-01,2399005
2021-11-02,2399005
2021-11-03,2399005
2021-11-04,2399005
2021-11-05,2399005
2021-11-08,2399005
2021-11-09,2399005
2021-11-10,2399005
2021-11-11,2399005
2021-11-12,2399005
2021-11-15,2399005
2021-11-16,2399005
2021-11-17,2399005
2021-11-18,2399005
2021-11-19,2399005
2021-11-22,2399005
2021-11-23,2399005
2021-11-24,2399005
2021-11-25,2399005
2021-11-26,2399005
2021-11-29,2399005
2021-11-30,2399005
2021-12-01,2399005
2021-12-02,2399005
2021-12-03,2399005
2021-12-06,2399005
2021-12-07,2399005
2021-12-08,2399005
2021-12-09,2399005
2021-12-10,2399005
2021-12-13,2399005
2021-12-14,2399005
2021-12-15,2399005
2021-12-16,2399005
2021-12-17,2399005
2021-12-20,2399005
2021-12-21,2399005
2021-12-22,2399005
2021-12-23,2399005
2021-12-24,2399005
2021-12-27,2399005
2021-12-28,2399005
2021-12-29,2399005
2021-12-30,2399005
2021-12-31,2399005
2022-01-03,2132796
2022-01-04,2132796
2022-01-05,2132796
2022-01-06,2132796
2022-01-07,2132796
2022-01-10,2132796
2022-01-11,2132796
2022-01-12,2132796
2022-01-13,2132796
2022-01-14,2132796
2022-01-17,2132796
2022-01-18,2132796
2022-01-19,2132796
2022-01-20,2132796
2022-01-21,2132796
2022-01-24,2132796
2022-01-25,2132796
2022-01-26,2132796
2022-01-27,2132796
2022-01-28,2132796
2022-01-31,2132796
2022-02-01,2132796
2022-02-02,2132796
2022-02-03,2132796
2022-02-04,2132796
2022-02-07,2132796
2022-02-08,2132796
2022-02-09,2132796
2022-02-10,2132796
2022-02-11,2132796
2022-02-14,2132796
2022-02-15,2132796
2022-02-16,2132796
2022-02-17,2132796
2022-02-18,2132796
2022-02-21,2132796
2022-02-22,2132796
2022-02-23,2132796
2022-02-24,2132796
2022-02-25,2132796
2022-02-28,2132796
2022-03-01,2132796
2022-03-02,2132796
2022-03-03,2132796
2022-03-04,2132796
2022-03-07,2132796
2022-03-08,2132796
2022-03-09,2132796
2022-03-10,2132796
2022-03-11,2132796
2022-03-14,2132796
2022-03-15,2132796
2022-03-16,2132796
2022-03-17,2132796
2022-03-18,2132796
2022-03-21,2132796
